,Ten tap chi,issn,online issn,print issn,linking issn,impact_factor
1170,Current Opinion in Cell Biology,, 1879-0410, 0955-0674,,7.5
1171,Current Opinion in Chemical Biology,, 1879-0402, 1367-5931,,7.8
1172,Current Opinion in Chemical Engineering,, 2211-3398,,,6.6
1173,Current Opinion in Colloid & Interface Science,, 1879-0399, 1359-0294,,8.9
1174,Current Opinion in Electrochemistry,, 2451-9111,, 2451-9103,8.5
1175,Current Opinion in Endocrine and Metabolic Research,, 2451-9650,,,
1176,Current Opinion in Environmental Science & Health,, 2468-5844,,,
1177,Current Opinion in Environmental Sustainability,, 1877-3443, 1877-3435,,7.2
1178,Current Opinion in Food Science,, 2214-8000, 2214-7993,,9.9
1179,Current Opinion in Genetics & Development,, 1879-0380, 0959-437X,,4
1180,Current Opinion in Green and Sustainable Chemistry,, 2452-2236,,,9.3
1181,Current Opinion in Immunology,, 1879-0372, 0952-7915,,7
1182,Current Opinion in Insect Science,, 2214-5753, 2214-5745,,5.3
1183,Current Opinion in Microbiology,, 1879-0364, 1369-5274,,5.4
1184,Current Opinion in Neurobiology,, 1873-6882, 0959-4388,,5.7
1185,Current Opinion in Pharmacology,, 1471-4973, 1471-4892,,4
1186,Current Opinion in Physiology,, 2468-8673, 2468-8681,,2.5
1187,Current Opinion in Plant Biology,, 1879-0356, 1369-5266,,9.5
1188,Current Opinion in Psychology,, 2352-2518, 2352-250X,,5.9
1189,Current Opinion in Solid State and Materials Science,, 1879-0348, 1359-0286,,11
1190,Current Opinion in Structural Biology,, 1879-033X, 0959-440X,,6.8
1191,Current Opinion in Systems Biology,, 2452-3100,,,3.7
1192,Current Opinion in Toxicology,, 2468-2020, 2468-2934,,4.6
1193,Current Opinion in Virology,, 1879-6265, 1879-6257,,5.9
1194,Current Orthopaedics, 0268-0890,,,,
1195,Current Paediatrics, 0957-5839,,,,
1196,Current Plant Biology,, 2214-6628,,,5.4
1197,Current Problems in Cancer,, 1535-6345, 0147-0272,,2.6
1198,Current Problems in Cancer: Case Reports,, 2666-6219,,,2.6
1199,Current Problems in Cardiology,, 1535-6280, 0146-2806,,4.2
1200,Current Problems in Dermatology, 1040-0486,,,,
1201,Current Problems in Diagnostic Radiology,, 1535-6302, 0363-0188,,1.4
1202,Current Problems in Pediatric and Adolescent Health Care,, 1538-3199, 1538-5442,,1.6
1203,Current Problems in Pediatrics, 0045-9380,,,,
1204,Current Problems in Surgery,, 1535-6337, 0011-3840,,4.4
1205,Current Research in Behavioral Sciences,, 2666-5182,,,5
1206,Current Research in Biotechnology,, 2590-2628,,,5.6
1207,Current Research in Cell Biology, 2590-2636,,,,
1208,Current Research in Chemical Biology,, 2666-2469,,,7.8
1209,Current Research in Ecological and Social Psychology,, 2666-6227,,,5.9
1210,Current Research in Environmental Sustainability,, 2666-0490,,,4.4
1211,Current Research in Food Science,, 2665-9271,,,6.3
1212,Current Research in Green and Sustainable Chemistry,, 2666-0865,,,9.3
1213,Current Research in Immunology,, 2590-2555,,,7
1214,Current Research in Insect Science,, 2666-5158,,,5.3
1215,Current Research in Microbial Sciences,, 2666-5174,,,5.4
1216,Current Research in Neurobiology,, 2665-945X,,,
1217,Current Research in Parasitology & Vector-Borne Diseases,, 2667-114X,,,
1218,Current Research in Pharmacology and Drug Discovery,, 2590-2571,,,4
1219,Current Research in Physiology,, 2665-9441,,,2.5
1220,Current Research in Structural Biology,, 2665-928X,,,2.8
1221,Current Research in Toxicology,, 2666-027X,,,3.3
1222,Current Research in Translational Medicine,, 2452-3186,,,4.1
1223,Current Research in Virological Science, 2666-478X,,,,
1224,Current Surgery, 0149-7944,,,,
1225,Current Therapeutic Research,, 1879-0313, 0011-393X,,1.9
1226,Currents in Pharmacy Teaching and Learning,, 1877-1300, 1877-1297,,1.2
1227,CVD Prevention and Control, 1875-4570,,,,
1228,CVGIP: Graphical Models and Image Processing, 1049-9652,,,,
1229,CVGIP: Image Understanding, 1049-9660,,,,
1230,Cyber Security and Applications, 2772-9184,,,,
1231,Cytokine,, 1096-0023, 1043-4666,,3.8
1232,Cytokine & Growth Factor Reviews,, 1879-0305, 1359-6101,,13
1233,Cytokine: X, 2590-1532,,,,
1234,Cytotherapy,, 1477-2566, 1465-3249,,4.5
1235,Data in Brief,, 2352-3409,,,1.2
1236,Data and Information Management, 2543-9251,,,,
1237,Data & Knowledge Engineering,, 1872-6933, 0169-023X,,2.5
1238,Data Processing, 0011-684X,,,,
1239,Data Science and Management,, 2666-7649,,,
1240,Debate Feminista, 0188-9478,,,,
1241,DeCarbon, 2949-8813,,,,
1242,Decision Analytics Journal, 2772-6622,,,,
1243,Decision Support Systems,, 1873-5797, 0167-9236,,7.5
1244,Decoding Infection and Transmission, 2949-9240,,,,
1245,Deep Brain Stimulation, 2949-6691,,,,
1246,Deep Sea Research, 0146-6291,,,,
1247,Deep Sea Research and Oceanographic Abstracts, 0011-7471,,,,
1248,Deep Sea Research Part A. Oceanographic Research Papers, 0198-0149,,,,
1249,Deep Sea Research Part B. Oceanographic Literature Review, 0198-0254,,,,
1250,Deep Sea Research Part I: Oceanographic Research Papers,, 1879-0119, 0967-0637,,2.4
1251,Deep Sea Research Part II: Topical Studies in Oceanography,, 1879-0100, 0967-0645,,3
1252,Deep Sea Research (1953), 0146-6313,,,,
1253,Defence Technology,, 2214-9147, 2096-3459,,5.1
1254,Dendrochronologia,, 1612-0051, 1125-7865,,3
1255,Dental Abstracts,, 1878-0547, 0011-8486,,
1256,Dental Cadmos, 0011-8524,,,,
1257,Dental Clinics of North America,, 1558-0512, 0011-8532,,
1258,Dental Materials,, 1879-0097, 0109-5641,,5
1259,Dentistry Review, 2772-5596,,,,
1260,Dermatologic Clinics,, 1558-0520, 0733-8635,,2.4
1261,Dermatologica Sinica, 1027-8117,,,,
1262,Desalination,, 1873-4464, 0011-9164,,9.9
1263,Design Studies,, 1872-6909, 0142-694X,,3.5
1264,Deutsche Zeitschrift für Akupunktur, 0415-6412,,,,
1265,Development Engineering, 2352-7285,,,,
1266,Developmental Biology,, 1095-564X, 0012-1606,,2.7
1267,Developmental Brain Research, 0165-3806,,,,
1268,Developmental Cell,, 1878-1551, 1534-5807,,
1269,Developmental Cognitive Neuroscience,, 1878-9307, 1878-9293,,4.7
1270,Developmental & Comparative Immunology,, 1879-0089,, 0145-305X,2.9
1271,Developmental Review,, 1090-2406, 0273-2297,,6.6
1272,Developments in the Built Environment,, 2666-1659,,,8.2
1273,Device, 2666-9986,,,,
1274,Diabetes Epidemiology and Management,, 2666-9706,,,7.2
1275,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,, 1878-0334, 1871-4021,,10
1276,Diabetes & Metabolism,, 1878-1780, 1262-3636,,7.2
1277,Diabetes Research and Clinical Practice,, 1872-8227, 0168-8227,,5.1
1278,Diagnostic Histopathology,, 1876-7621, 1756-2317,,
1279,Diagnostic and Interventional Imaging,, 2211-5684,,,5.5
1280,Diagnostic Microbiology and Infectious Disease,, 1879-0070, 0732-8893,,2.9
1281,Diagnóstico Prenatal, 2173-4127,,,,
1282,Diagnostics in Neuropsychiatry, 2405-8017,,,,
1283,Diálisis y Trasplante, 1886-2845,,,,
1284,Dialogues in Health, 2772-6533,,,,
1285,Diamond and Related Materials,, 1879-0062, 0925-9635,,4.1
1286,Differential Geometry and its Applications,, 1872-6984, 0926-2245,,0.5
1287,Differentiation,, 1432-0436, 0301-4681,,2.9
1288,Digestive and Liver Disease,, 1878-3562, 1590-8658,,4.5
1289,Digestive and Liver Disease Supplements, 1594-5804,,,,
1290,Digital Applications in Archaeology and Cultural Heritage,, 2212-0548,,,
1291,Digital Business,, 2666-9544,,,
1292,Digital Chemical Engineering, 2772-5081,,,,
1293,Digital Chinese Medicine,, 2589-3777,,,
1294,Digital Communications and Networks,, 2352-8648, 2468-5925,,7.9
1295,Digital Geography and Society,, 2666-3783,,,
1296,Digital Investigation,, 2666-2817, 2666-2825, 1742-2876,
1297,Digital Signal Processing,, 1095-4333, 1051-2004,,2.9
1298,Disability and Health Journal,, 1876-7583, 1936-6574,,4.5
1299,Disaster Management & Response, 1540-2487,,,,
1300,"Discourse, Context & Media",, 2211-6966, 2211-6958,,2
1301,Discrete Applied Mathematics,, 1872-6771, 0166-218X,,1.1
1302,Discrete Mathematics,, 1872-681X, 0012-365X,,0.8
1303,Discrete Optimization,, 1873-636X, 1572-5286,,1.1
1304,Disease-a-Month,, 1557-8194, 0011-5029,,4
1305,Diseases of the Chest, 0096-0217,,,,
1306,Displays,, 1872-7387, 0141-9382,,4.3
1307,DNA Repair,, 1568-7856, 1568-7864,,3.8
1308,DoctorConsult - The Journal. Wissen für Klinik und Praxis, 1879-4122,,,,
1309,Domestic Animal Endocrinology,, 1879-0054, 0739-7240,,2.1
1310,Douleurs : Évaluation - Diagnostic - Traitement,, 2213-025X, 1624-5687,,
1311,"Droit, Déontologie & Soin", 1629-6583,,,,
1312,Drug and Alcohol Dependence,, 1879-0046, 0376-8716,,4.2
1313,Drug and Alcohol Dependence Reports, 2772-7246,,,,
1314,Drug Discovery Today,, 1878-5832, 1359-6446,,7.4
1315,Drug Discovery Today: BIOSILICO, 1741-8364,,,,
1316,Drug Discovery Today: Disease Mechanisms, 1740-6765,,,,
1317,Drug Discovery Today: Disease Models, 1740-6757,,,,
1318,Drug Discovery Today: TARGETS, 1741-8372,,,,
1319,Drug Discovery Today: Technologies, 1740-6749,,,,
1320,Drug Discovery Today: Therapeutic Strategies, 1740-6773,,,,
1321,Drug Invention Today, 0975-7619,,,,
1322,Drug Metabolism and Pharmacokinetics,, 1880-0920, 1347-4367,,2.1
1323,Drug Resistance Updates,, 1532-2084, 1368-7646,,24.3
1324,Dyes and Pigments,, 1873-3743, 0143-7208,,4.5
1325,Dynamics of Atmospheres and Oceans,, 1872-6879, 0377-0265,,1.7
1326,"e-Prime - Advances in Electrical Engineering, Electronics and Energy", 2772-6711,,,,
1327,Early Childhood Research Quarterly,, 1873-7706, 0885-2006,,3.7
1328,Early Human Development,, 1872-6232, 0378-3782,,2.5
1329,Earth and Planetary Science Letters,, 1385-013X, 0012-821X,,5.3
1330,Earth Science Frontiers, 1872-5791,,,,
1331,Earth-Science Reviews,, 1872-6828, 0012-8252,,12.1
1332,Earth System Governance,, 2589-8116,,,5.6
1333,Earthquake Research Advances, 2772-4670,,,,
1334,Earthquake Science, 1674-4519,,,,
1335,Eating Behaviors,, 1873-7358, 1471-0153,,2.8
1336,EAU-EBU Update Series, 1871-2592,,,,
1337,EAU Update Series, 1570-9124,,,,
1338,eBioMedicine,, 2352-3964,,,
1339,eClinicalMedicine,, 2589-5370,,,15.1
1340,Eco-Environment & Health, 2772-9850,,,,
1341,Ecohydrology & Hydrobiology,, 2080-3397, 1642-3593,,2.6
1342,Ecological Complexity,, 1476-9840, 1476-945X,,3.5
1343,Ecological Economics,, 1873-6106, 0921-8009,,7
1344,Ecological Engineering,, 1872-6992, 0925-8574,,3.8
1345,Ecological Engineering: X,, 1872-6992, 0925-8574,,3.8
1346,Ecological Genetics and Genomics,, 2405-9854,,,
1347,Ecological Indicators,, 1872-7034, 1470-160X,,6.9
1348,Ecological Informatics,, 1878-0512, 1574-9541,,5.1
1349,Ecological Modelling,, 1872-7026, 0304-3800,,3.1
1350,Econometrics and Statistics,, 2452-3062, 2468-0389,,1.9
1351,EconomiA, 1517-7580,,,,
1352,Economía Informa, 0185-0849,,,,
1353,Economía UNAM, 1665-952X,,,,
1354,Economic Analysis and Policy,, 2204-2296, 0313-5926,,6.5
1355,Economic Modelling,, 1873-6122, 0264-9993,,4.7
1356,Economic Systems,, 1878-5433, 0939-3625,,3.1
1357,Economics of Education Review,, 1873-7382, 0272-7757,,2.2
1358,Economics & Human Biology,, 1873-6130, 1570-677X,,2.5
1359,Economics Letters,, 1873-7374, 0165-1765,,2
1360,Economics of Transportation,, 2212-0130, 2212-0122,,2.8
1361,Ecosystem Services,, 2212-0416,,,7.6
1362,Ecotoxicology and Environmental Safety,, 1090-2414, 0147-6513,,6.8
1363,Educación Médica,, 1579-2099, 1575-1813,,
1364,Educación Química, 0187-893X,,,,
1365,Education for Chemical Engineers,, 1749-7728,,,3.9
1366,Education and Computing, 0167-9287,,,,
1367,Educational Research Review,, 1878-0385, 1747-938X,,11.7
1368,EFB Bioeconomy Journal, 2667-0410,,,,
1369,The Egyptian Heart Journal, 1110-2608,,,,
1370,Egyptian Informatics Journal,, 2090-4754, 1110-8665,,5.2
1371,Egyptian Journal of Anaesthesia, 1110-1849,,,,
1372,The Egyptian Journal of Aquatic Research,, 2090-3278, 1687-4285,,3.5
1373,Egyptian Journal of Basic and Applied Sciences, 2314-808X,,,,
1374,Egyptian Journal of Chest Diseases and Tuberculosis, 0422-7638,,,,
1375,The Egyptian Journal of Critical Care Medicine, 2090-7303,,,,
1376,"Egyptian Journal of Ear, Nose, Throat and Allied Sciences", 2090-0740,,,,
1377,Egyptian Journal of Forensic Sciences, 2090-536X,,,,
1378,Egyptian Journal of Medical Human Genetics, 1110-8630,,,,
1379,Egyptian Journal of Petroleum,, 2090-2468, 1110-0621,,
1380,The Egyptian Journal of Radiology and Nuclear Medicine, 0378-603X,,,,
1381,The Egyptian Journal of Remote Sensing and Space Sciences,, 2090-2476, 1110-9823,,6.4
1382,Egyptian Pediatric Association Gazette, 1110-6638,,,,
1383,The Egyptian Rheumatologist,, 2090-2433, 1110-1164,,0.9
1384,EJC Paediatric Oncology, 2772-610X,,,,
1385,EJC Skin Cancer, 2772-6118,,,,
1386,EJVES Extra, 1533-3167,,,,
1387,EJVES Short Reports,, 2666-688X,, 2405-6553,
1388,EJVES Vascular Forum,, 2666-688X,,,0.6
1389,Electoral Studies,, 1873-6890, 0261-3794,,2.3
1390,Electric Power Systems Research,, 1873-2046, 0378-7796,,3.9
1391,The Electricity Journal,, 1873-6874, 1040-6190,,
1392,Electrochemistry Communications,, 1873-1902,, 1388-2481,5.4
1393,Electrochimica Acta,, 1873-3859, 0013-4686,,6.6
1394,Electrodeposition and Surface Treatment, 0300-9416,,,,
1395,Electroencephalography and Clinical Neurophysiology, 0013-4694,,,,
1396,Electroencephalography and Clinical Neurophysiology/Electromyography and Motor Control, 0924-980X,,,,
1397,Electroencephalography and Clinical Neurophysiology/Evoked Potentials Section, 0168-5597,,,,
1398,Electron Microscopy Reviews, 0892-0354,,,,
1399,Electronic Commerce Research and Applications,, 1873-7846, 1567-4223,,6
1400,Electronic Journal of Biotechnology,, 0717-3458,,,2.7
1401,Electronic Notes in Discrete Mathematics, 1571-0653,,,,
1402,Electronic Notes in Theoretical Computer Science, 1571-0661,,,,
1403,EMC - AKOS - Trattato di Medicina,,, 1634-7358,,
1404,EMC - Anestesia-Reanimación,, 2214-8817, 1280-4703,,
1405,EMC - Anestesia-Rianimazione,,, 1283-0771,,
1406,EMC - Anesthésie-Réanimation, 1638-6205,,,,
1407,EMC - Aparato Locomotor,, 1286-935X, 1286-935X,,
1408,EMC - Cardiologie-Angéiologie, 1762-6137,,,,
1409,EMC - Chirurgie, 1762-570X,,,,
1410,EMC - Cirugía General,, 2214-9023, 1634-7080,,
1411,EMC - Cirugía Otorrinolaringológica y Cervicofacial,, 2214-9031, 1635-2505,,
1412,EMC - Cirugía Plástica Reparadora y Estética,, 2214-8973, 1634-2143,,
1413,EMC - Cosmetologia Medica e Medicina degli Inestetismi Cutanei,,, 1776-0313,,
1414,EMC - Dentisterie, 1762-5661,,,,
1415,EMC - Dermatología,, 2214-9074, 1761-2896,,
1416,EMC - Dermatologie-Cosmétologie, 1762-5696,,,,
1417,EMC - Endocrinologie, 1762-5653,,,,
1418,EMC - Ginecología-Obstetricia,, 1283-081X, 1283-081X,,
1419,EMC - Gynécologie-Obstétrique, 1762-6145,,,,
1420,EMC - Hématologie, 1638-6213,,,,
1421,EMC - Hépato-Gastroenterologie, 1769-6763,,,,
1422,EMC - Hépatologie, 1638-6221,,,,
1423,EMC - Kinesiterapia - Medicina Física,, 2214-8884, 1293-2965,,
1424,EMC - Kinésithérapie, 1769-6852,,,,
1425,EMC - Maladies Infectieuses, 1638-623X,,,,
1426,EMC - Médecine, 1762-4193,,,,
1427,EMC - Medicina Riabilitativa,,, 1283-078X,,
1428,EMC - Néphrologie, 1638-6248,,,,
1429,EMC - Neurologia,,, 1634-7072,,
1430,EMC - Neurologie, 1762-4231,,,,
1431,EMC - Odontologie, 1769-6836,,,,
1432,EMC - Ophtalmologie, 1762-584X,,,,
1433,EMC - Oto-rhino-laryngologie, 1762-5688,,,,
1434,EMC - Otorinolaringoiatria,, 2214-9066, 1639-870X,,
1435,EMC - Otorrinolaringología,, 2214-8914, 1632-3475,,
1436,EMC - Pediatría,, 2214-9244, 1245-1789,,
1437,EMC - Pédiatrie, 1762-6013,,,,
1438,EMC - Pneumologie, 1762-4223,,,,
1439,EMC - Podología,, 2214-9155, 1762-827X,,
1440,EMC - Podologie, 1769-6860,,,,
1441,EMC - Podologie-Kinésithérapie, 1762-567X,,,,
1442,EMC - Psychiatrie, 1762-5718,,,,
1443,EMC - Radiologie, 1762-4185,,,,
1444,EMC - Rhumatologie-Orthopédie, 1762-4207,,,,
1445,EMC - Stomatologie, 1769-6844,,,,
1446,EMC - Técnicas Quirúrgicas - Aparato Digestivo,, 1282-9129, 1282-9129,,
1447,EMC - Técnicas Quirúrgicas - Ortopedia y Traumatología,, 2211-033X, 2667-1662,,
1448,EMC - Tecniche Chirurgiche Addominale,, 1283-0798, 1283-0798,,
1449,EMC - Tecniche Chirurgiche - Chirurgia Generale,, 2214-904X, 1636-5577,,
1450,EMC - Tecniche Chirurgiche - Chirurgia ORL e Cervico-Facciale,, 1292-3036, 1292-3036,,
1451,EMC - Tecniche Chirurgiche - Chirurgia Ortopedica,, 2211-081X, 2211-0801,,
1452,EMC - Tecniche Chirurgiche - Chirurgia Plastica¸ Ricostruttiva ed Estetica,,, 1769-6704,,
1453,EMC - Tecniche Chirurgiche Torace,, 2214-885X, 1288-3336,,
1454,EMC - Tecniche Chirurgiche Vascolare,, 1283-0801, 1283-0801,,
1455,EMC - Toxicologie-Pathologie, 1762-5858,,,,
1456,EMC - Tratado de Medicina,, 2214-9406, 1636-5410,,
1457,EMC - Urgenze,,, 1286-9341,,
1458,EMC - Urología,, 2214-9082, 1761-3310,,
1459,EMC - Vétérinaire, 1762-4215,,,,
1460,Emergency Medicine Clinics of North America,, 1558-0539, 0733-8627,,1.2
1461,Emerging Animal Species, 2772-8137,,,,
1462,Emerging Contaminants,, 2405-6642, 2405-6650,,6
1463,Emerging Markets Review,, 1873-6173, 1566-0141,,4.8
1464,"Emerging Trends in Drugs, Addictions, and Health",, 2667-1182,,,
1465,"Emotion, Space and Society",, 1878-0040, 1755-4586,,1.8
1466,L'Encéphale,, 2589-4935, 0013-7006,,2.7
1467,Endeavour,, 1873-1929, 0160-9327,,0.6
1468,Endocrine and Metabolic Science,, 2666-3961,,,
1469,Endocrine Practice,, 1934-2403, 1530-891X,,4.2
1470,"Endocrinología, Diabetes y Nutrición",, 2530-0172, 2530-0164,,
1471,"Endocrinología, Diabetes y Nutrición (English ed.)",, 2530-0180,,,1.9
1472,Endocrinología y Nutrición, 1575-0922,,,,
1473,Endocrinología y Nutrición (English Edition), 2173-5093,,,,
1474,Endocrinology and Metabolism Clinics of North America,, 1558-4410, 0889-8529,,4.5
1475,Endoscopia, 0188-9893,,,,
1476,Energetic Materials Frontiers,, 2666-6472,,,
1477,Energy,, 1873-6785, 0360-5442,,9
1478,Energy in Agriculture, 0167-5826,,,,
1479,Energy and AI,, 2666-5468,,,
1480,Energy and Buildings,, 1872-6178, 0378-7788,,6.7
1481,Energy and Built Environment,, 2666-1233,,,
1482,Energy and Climate Change,, 2666-2787,,,
1483,Energy Conversion, 0013-7480,,,,
1484,Energy Conversion and Management,, 1879-2227, 0196-8904,,10.4
1485,Energy Conversion and Management: X,, 2590-1745,,,6.3
1486,Energy Economics,, 1873-6181, 0140-9883,,12.8
1487,Energy Efficiency First, 2950-1563,,,,
1488,Energy Geoscience,, 2666-7592,,,
1489,Energy Nexus,, 2772-4271,,,
1490,Energy Policy,, 1873-6777, 0301-4215,,9
1491,Energy Procedia, 1876-6102,,,,
1492,Energy Reports,, 2352-4847,,,5.2
1493,Energy Research & Social Science,, 2214-6326,, 2214-6296,6.7
1494,Energy Reviews, 2772-9702,,,,
1495,Energy Storage Materials,, 2405-8289, 2405-8297,,20.4
1496,Energy Storage and Saving, 2772-6835,,,,
1497,Energy Strategy Reviews,, 2211-4688,, 2211-467X,8.2
1498,Energy for Sustainable Development,, 2352-4669, 0973-0826,,5.5
1499,EnergyChem,, 2589-7780,,,25.1
1500,eNeurologicalSci,, 2405-6502,,,
1501,Enfermedad Inflamatoria Intestinal al Día, 1696-7801,,,,
1502,Enfermedades Infecciosas y Microbiología Clínica,, 1578-1852, 0213-005X,,2.5
1503,Enfermedades infecciosas y microbiologia clinica (English ed.),, 2529-993X,,,
1504,Enfermería Clínica,, 1579-2013, 1130-8621,,0.5
1505,Enfermería Clínica (English Edition),, 2445-1479,,,
1506,Enfermería Intensiva,, 1578-1291, 1130-2399,,1.3
1507,Enfermería Intensiva (English ed.),, 2529-9840,,,
1508,Enfermería Universitaria, 1665-7063,,,,
1509,Engineered Regeneration,, 2666-1381,,,
1510,Engineering,, 2096-0026, 2095-8099,,12.8
1511,"Engineering in Agriculture, Environment and Food", 1881-8366,,,,
1512,Engineering Analysis, 0264-682X,,,,
1513,Engineering Analysis with Boundary Elements,, 1873-197X, 0955-7997,,3.3
1514,Engineering Applications of Artificial Intelligence,, 1873-6769, 0952-1976,,8
1515,Engineering Costs and Production Economics, 0167-188X,,,,
1516,Engineering Failure Analysis,, 1873-1961, 1350-6307,,4
1517,Engineering Fracture Mechanics,, 1873-7315, 0013-7944,,5.4
1518,Engineering Geology,, 1872-6917, 0013-7952,,7.4
1519,Engineering Management International, 0167-5419,,,,
1520,Engineering Microbiology, 2667-3703,,,,
1521,Engineering and Process Economics, 0377-841X,,,,
1522,"Engineering Science and Technology, an International Journal",, 2215-0986,,,5.7
1523,Engineering Structures,, 1873-7323, 0141-0296,,5.5
1524,English for Specific Purposes,, 1873-1937, 0889-4906,,2.5
1525,Ensayos sobre Política Económica, 0120-4483,,,,
1526,Entertainment Computing,, 1875-953X, 1875-9521,,2.8
1527,Environment International,, 1873-6750, 0160-4120,,11.8
1528,Environmental Advances,, 2666-7657,,,
1529,Environmental Challenges,, 2667-0100,,,8.7
1530,Environmental Chemistry and Ecotoxicology,, 2590-1826,,,
1531,Environmental Development,, 2211-4653, 2211-4645,,5.4
1532,Environmental and Experimental Botany,, 1873-7307, 0098-8472,,5.7
1533,Environmental Forensics, 1527-5922,,,,
1534,Environmental Functional Materials, 2773-0581,,,,
1535,Environmental Hazards, 1747-7891,,,,
1536,Environmental Impact Assessment Review,, 1873-6432, 0195-9255,,7.9
1537,Environmental Innovation and Societal Transitions,, 2210-4232, 2210-4224,,7.2
1538,Environmental Modelling & Software,, 1873-6726, 1364-8152,,4.9
1539,"Environmental Nanotechnology, Monitoring & Management",, 2215-1532,,,
1540,Environmental Policy and Law, 0378-777X,,,,
1541,Environmental Pollution,, 1873-6424, 0269-7491,,8.9
1542,"Environmental Pollution Series A, Ecological and Biological", 0143-1471,,,,
1543,"Environmental Pollution Series B, Chemical and Physical", 0143-148X,,,,
1544,Environmental Pollution (1970), 0013-9327,,,,
1545,Environmental Research,, 1096-0953, 0013-9351,,8.3
1546,Environmental Science and Ecotechnology,, 2666-4984,,,12.6
1547,Environmental Science & Policy,, 1873-6416,, 1462-9011,6
1548,Environmental Software, 0266-9838,,,,
1549,Environmental Surfaces and Interfaces, 2949-8643,,,,
1550,Environmental and Sustainability Indicators,, 2665-9727,,,4.3
1551,Environmental Technology & Innovation,, 2352-1864,,,7.1
1552,Environmental Toxicology and Pharmacology,, 1872-7077, 1382-6689,,4.3
1553,The Environmentalist, 0251-1088,,,,
1554,Enzyme and Microbial Technology,, 1879-0909, 0141-0229,,3.4
1555,Epidemics,, 1878-0067, 1755-4365,,3.8
1556,Epilepsy & Behavior,, 1525-5069, 1525-5050,,2.6
1557,Epilepsy & Behavior Case Reports, 2213-3232,,,,
1558,Epilepsy & Behavior Reports,, 2589-9864,,,1.5
1559,Epilepsy Research,, 1872-6844, 0920-1211,,2.2
1560,Epileptology, 2212-8220,,,,
1561,eScience, 2667-1417,,,,
1562,ESMO Gastrointestinal Oncology, 2949-8198,,,,
1563,ESMO Open,, 2059-7029,,,7.3
1564,ESMO Real World Data and Digital Oncology, 2949-8201,,,,
1565,The ESP Journal, 0272-2380,,,,
1566,"e-SPEN, the European e-Journal of Clinical Nutrition and Metabolism",, 2405-4577,, 1751-4991,
1567,e-SPEN Journal,, 2405-4577,, 2212-8263,
1568,Estuarine and Coastal Marine Science, 0302-3524,,,,
1569,"Estuarine, Coastal and Shelf Science",, 1096-0015, 0272-7714,,2.8
1570,Estudios de Cultura Maya, 0185-2574,,,,
1571,Estudios Gerenciales, 0123-5923,,,,
1572,Estudios de Historia Moderna y Contemporánea de México, 0185-2620,,,,
1573,Estudios de Historia Novohispana, 1870-9060,,,,
1574,Estudios Políticos, 0185-1616,,,,
1575,Ethics and the Environment, 1085-6633,,,,
1576,"Ethics, Medicine and Public Health",, 2352-5533, 2352-5525,,
1577,Éthique & Santé,, 1769-695X, 1765-4629,,
1578,Ethology and Sociobiology, 0162-3095,,,,
1579,eTransportation,, 2590-1168,,,11.9
1580,EuPA Open Proteomics,, 2212-9685,,,3.3
1581,Euro III-Vs Review, 0959-3527,,,,
1582,EURO Journal on Computational Optimization,, 2192-4414,, 2192-4406,2.4
1583,EURO Journal on Decision Processes, 2193-9438,,,,1
1584,EURO Journal on Transportation and Logistics,, 2192-4384,, 2192-4376,2.4
1585,Euromicro Newsletter, 0303-1268,,,,
1586,"European Annals of Otorhinolaryngology, Head and Neck Diseases",, 1879-730X, 1879-7296,,2.5
1587,European Economic Review,, 1873-572X, 0014-2921,,2.8
1588,European Geriatric Medicine, 1878-7649,,,,
1589,European Journal of Agronomy,, 1873-7331, 1161-0301,,5.2
1590,European Journal of Cancer,, 1879-0852, 0959-8049,,8.4
1591,European Journal of Cancer and Clinical Oncology, 0277-5379,,,,
1592,European Journal of Cancer Part B: Oral Oncology, 0964-1955,,,,
1593,European Journal of Cancer Supplements,, 1878-1217, 1359-6349,,
1594,European Journal of Cancer (1965), 0014-2964,,,,
1595,European Journal of Cell Biology,, 1618-1298, 0171-9335,,6.6
1596,European Journal of Combinatorics,, 1095-9971, 0195-6698,,1
1597,European Journal of Control,, 1435-5671, 0947-3580,,3.4
1598,European Journal of Education and Psychology, 1888-8992,,,,
1599,European Journal of Family Business, 2444-877X,,,,
1600,European Journal of Implant and Refractive Surgery, 0955-3681,,,,
1601,European Journal of Integrative Medicine,, 1876-3839, 1876-3820,,2.5
1602,European Journal of Internal Medicine,, 1879-0828, 0953-6205,,8
1603,European Journal of Management and Business Economics, 2444-8451,,,,
1604,European Journal of Mechanics - A/Solids,, 1873-7285, 0997-7538,,4.1
1605,European Journal of Mechanics - B/Fluids,, 1873-7390, 0997-7546,,2.6
1606,European Journal of Medical Genetics,, 1878-0849, 1769-7212,,1.9
1607,European Journal of Medicinal Chemistry,, 1768-3254, 0223-5234,,6.7
1608,European Journal of Medicinal Chemistry Reports,, 2772-4174,,,
1609,European Journal of Obstetrics & Gynecology, 0028-2243,,,,
1610,European Journal of Obstetrics & Gynecology and Reproductive Biology,, 1872-7654, 0301-2115,,2.6
1611,European Journal of Obstetrics & Gynecology and Reproductive Biology: X,, 2590-1613,,,2.6
1612,European Journal of Oncology Nursing,, 1532-2122, 1462-3889,,2.8
